City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Anloga,GH,5.7947,0.8973,87.8,70,20,11.5,few clouds,2021-01-29 17:00:16
1,Tual,ID,-5.6667,132.75,83.28,75,100,17.83,overcast clouds,2021-01-29 16:56:21
2,Lithgow,AU,-33.4833,150.15,62.01,43,100,3.09,overcast clouds,2021-01-29 17:00:16
3,Busselton,AU,-33.65,115.3333,64.0,80,0,1.99,clear sky,2021-01-29 17:00:17
4,Cap Malheureux,MU,-19.9842,57.6142,81.0,78,2,5.01,clear sky,2021-01-29 17:00:17
5,Nome,US,64.5011,-165.4064,1.4,71,40,3.44,scattered clouds,2021-01-29 16:59:53
6,Dikson,RU,73.5069,80.5464,-33.18,84,54,4.88,broken clouds,2021-01-29 17:00:17
7,Kalaleh,IR,37.3807,55.4916,55.4,50,0,7.54,clear sky,2021-01-29 17:00:17
8,Daru,PG,-9.0763,143.2092,77.95,88,99,14.23,moderate rain,2021-01-29 17:00:18
9,Nouadhibou,MR,20.931,-17.0347,87.8,20,0,12.66,clear sky,2021-01-29 17:00:18
10,Jamestown,US,42.097,-79.2353,21.0,86,90,16.11,light snow,2021-01-29 16:57:17
11,Aasiaat,GL,68.7098,-52.8699,1.98,86,0,3.62,clear sky,2021-01-29 17:00:18
12,Tvoroyri,FO,61.5556,-6.8111,32.0,64,75,8.05,broken clouds,2021-01-29 17:00:19
13,Albany,US,42.6001,-73.9662,12.0,46,87,5.01,overcast clouds,2021-01-29 16:56:11
14,Tooele,US,40.5308,-112.2983,46.99,49,90,10.36,overcast clouds,2021-01-29 17:00:19
15,East London,ZA,-33.0153,27.9116,75.2,73,20,6.91,few clouds,2021-01-29 17:00:19
16,Senekal,ZA,-28.3197,27.6208,73.53,45,55,4.99,broken clouds,2021-01-29 17:00:20
17,Thompson,CA,55.7435,-97.8558,-4.0,84,75,4.61,broken clouds,2021-01-29 17:00:20
18,Port Alfred,ZA,-33.5906,26.891,70.0,82,0,1.99,clear sky,2021-01-29 17:00:21
19,Cape Town,ZA,-33.9258,18.4232,75.99,53,20,18.41,few clouds,2021-01-29 16:58:00
20,Severo-Kurilsk,RU,50.6789,156.125,21.51,94,100,18.99,overcast clouds,2021-01-29 17:00:21
21,Annau,TM,37.8876,58.516,50.0,53,40,2.3,scattered clouds,2021-01-29 17:00:21
22,Avarua,CK,-21.2078,-159.775,77.0,94,20,5.75,few clouds,2021-01-29 16:56:27
23,Pevek,RU,69.7008,170.3133,-27.9,86,5,3.76,clear sky,2021-01-29 17:00:21
24,Monopoli,IT,40.9559,17.2896,59.0,93,40,12.66,scattered clouds,2021-01-29 17:00:22
25,Craidorolt,RO,47.6167,22.7,32.0,100,90,3.44,mist,2021-01-29 17:00:22
26,Qui Nhon,VN,13.7667,109.2333,69.89,81,29,13.22,scattered clouds,2021-01-29 17:00:22
27,Erenhot,CN,43.6475,111.9767,9.46,89,37,5.44,scattered clouds,2021-01-29 17:00:22
28,Capanema,BR,-1.1958,-47.1808,83.46,82,46,6.76,scattered clouds,2021-01-29 17:00:23
29,Ciudad Bolivar,VE,8.1222,-63.5497,88.0,48,54,10.31,broken clouds,2021-01-29 17:00:23
30,Chuy,UY,-33.6971,-53.4616,79.66,59,51,9.57,broken clouds,2021-01-29 16:56:30
31,Narsaq,GL,60.9167,-46.05,44.6,29,75,32.21,broken clouds,2021-01-29 17:00:23
32,Miri,MY,4.4148,114.0089,78.8,94,40,4.61,scattered clouds,2021-01-29 17:00:09
33,La Paz,BO,-16.5,-68.15,57.2,26,75,5.75,broken clouds,2021-01-29 17:00:24
34,Bull Savanna,JM,17.8868,-77.5902,79.93,61,1,9.42,clear sky,2021-01-29 17:00:24
35,Lebu,CL,-37.6167,-73.65,58.98,96,98,1.79,overcast clouds,2021-01-29 17:00:24
36,Sechura,PE,-5.5569,-80.8222,81.68,55,63,7.34,broken clouds,2021-01-29 17:00:24
